,Artificial Intellignce,Data Science,Cyber Security,Cloud Computing,Emerging tech,Teaching,Blockchain,Quantum Computing,Open Source,Ethics,Agile,Media,Workplace,Difficulty,Duration
What is your age?,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
What do you study?,4,3,4,4,0,0,0,1,0,0,0,0,0,0,0
Do you (or would you like to) work in a Computing-based sector?,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0
How would you describe your skill level?,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
How often does your degree/workplace require writing essays/reports?,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Are you a college/university student?,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Are you a teacher?,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
Why would you like to study a course?,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
How interested are you in automating data?,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0
How interested are you in managing (the flow of) data?,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
How interested are you in the cloud and Networking?,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
How interested are you in Cyber Security?,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
How interested are you in creating media?,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
How interested are you in learning Computing skills for Businesses/Enterprises?,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
How interested are you in learning methodologies such as Agile/Devops?,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
Is programming as a freelancer (mainly open-source projects) a topic of interest?,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Are you interested in learning in dealing with ethical topics?,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Are you interested in new emerging technologies?,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
How much time would you like to dedicate to the course?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
